2457867.83278 17.727 0.014 3.53 345.0
2457867.88265 17.725 0.016 4.58 365.0
2457867.92947 17.681 0.021 5.24 638.0
2457868.79267 17.705 0.020 5.42 382.0
2457868.86152 17.738 0.027 7.58 437.0
2457868.92302 17.754 0.026 7.03 438.0
2457869.71433 17.712 0.017 4.83 374.0
2457869.76029 17.709 0.015 4.08 362.0
2457869.81609 17.704 0.014 4.09 349.0
2457869.87577 17.712 0.015 3.59 396.0
2457869.92316 17.703 0.015 3.60 473.0
2457870.74066 17.673 0.013 3.14 326.0
2457870.79686 17.698 0.014 3.60 327.0
2457870.85499 17.707 0.016 4.65 347.0
2457870.90290 17.704 0.016 4.23 381.0
2457871.72127 17.674 0.015 4.07 396.0
2457871.76726 17.685 0.014 3.66 388.0
2457871.83846 17.706 0.014 3.44 369.0
2457871.89293 17.717 0.016 3.90 398.0
2457872.66661 17.734 0.017 4.31 433.0
2457872.73653 17.745 0.015 4.02 387.0
2457872.79349 17.727 0.014 3.69 374.0
2457872.85968 17.710 0.016 4.66 394.0
2457872.91634 17.708 0.016 4.24 435.0
2457873.68552 17.737 0.016 4.26 404.0
2457873.73140 17.691 0.014 3.73 384.0
2457873.77815 17.714 0.013 3.42 348.0
2457873.83651 17.699 0.015 4.15 388.0
2457873.89744 17.713 0.016 4.07 407.0
2457874.66009 17.712 0.021 5.95 461.0
2457874.70674 17.708 0.019 5.60 421.0
2457874.76201 17.694 0.020 5.86 409.0
2457874.82024 17.741 0.019 5.30 378.0
2457874.86949 17.681 0.018 4.87 466.0
2457874.91644 17.669 0.018 5.45 438.0
2457875.80341 17.717 0.014 4.04 774.0
2457875.87167 17.709 0.016 4.50 820.0
2457875.90923 17.724 0.017 4.94 577.0
2457876.65621 17.704 0.022 5.65 583.0
2457876.70333 17.724 0.018 4.96 465.0
2457876.75183 17.705 0.016 4.61 424.0
2457876.81081 17.724 0.015 3.65 401.0
2457876.87259 17.694 0.017 4.88 428.0
2457876.92977 17.712 0.018 4.58 543.0
2457877.68088 17.696 0.017 4.63 466.0
2457877.73737 17.679 0.014 3.69 410.0
2457877.79411 17.701 0.014 3.70 407.0
2457877.84491 17.681 0.015 3.48 484.0
2457877.89641 17.700 0.018 4.59 495.0
2457878.71358 17.681 0.014 3.50 474.0
2457878.77890 17.729 0.015 3.73 419.0
2457878.82940 17.685 0.014 3.43 407.0
2457878.88791 17.706 0.015 3.77 423.0
2457878.93399 17.717 0.020 4.15 916.0
2457879.69672 17.732 0.021 5.54 497.0
2457879.74289 17.714 0.023 6.11 516.0
2457879.78888 17.675 0.025 7.29 463.0
2457879.88059 17.758 0.028 7.49 469.0
2457880.69482 17.736 0.025 6.56 511.0
2457880.74083 17.735 0.021 5.81 495.0
2457880.78914 17.727 0.022 5.96 508.0
2457880.84736 17.656 0.025 6.96 505.0
2457880.91416 17.752 0.030 7.82 517.0
